id,name,class,address,latitude,longitude
1,八卦山風景區南投地區,國家級風景特定區,南投縣南投市八卦路58巷57號,120.6394782,23.8930934
2,塔塔加遊憩區,國家公園,南投縣信義鄉同富村12鄰太平巷118號,120.891585,23.487559
3,日月潭環潭區,國家級風景特定區,南投縣魚池鄉日月村1鄰文化街127號,120.929446,23.848884
4,玉山管理處遊客服務中心,國家公園,南投縣水里鄉北埔村11鄰中山路一段515號,120.849884,23.812621
5,車埕,國家級風景特定區,南投縣水里鄉車埕村5鄰民權巷110之2號,120.865737,23.833784
6,中臺禪寺,宗教場所,南投縣埔里鎮一新里1鄰中臺路2號,120.944176,24.009319
7,九族文化村,其他,南投縣魚池鄉大林村4鄰金天巷45號,120.944811,23.870497
8,國立自然科學博物館鳳凰谷鳥園生態園區,其他,南投縣鹿谷鄉鳳凰村2鄰仁義路1之9號,120.791933,23.729057
9,天空之橋,其他,南投縣南投市福山里19鄰猴探井街300號,120.632129,23.908531
10,奧萬大國家森林遊樂區,森林遊樂區,南投縣仁愛鄉親愛村21鄰大安路153號,121.141518,23.960999
11,惠蓀林場,森林遊樂區,南投縣仁愛鄉新生村1鄰山林巷1號,121.015611,24.082431
12,杉林溪森林生態渡假園區,其他,南投縣竹山鎮大鞍里12鄰溪山路6號,120.791999,23.639858
13,東埔溫泉,直轄市及縣,南投縣信義鄉東埔村4鄰開高巷136之2號,120.918476,23.566213
14,桃米紙教堂,其他,南投縣埔里鎮桃米里5鄰桃米巷52之12號,120.926925,23.94113
15,泰雅渡假村,其他,南投縣國姓鄉北港村2鄰北原路56之6號,120.940276,24.065432
16,清境農場,其他,南投縣仁愛鄉大同村18鄰仁和路170號,121.163144,24.058622
17,清境高空觀景步道,其他,南投縣仁愛鄉大同村18鄰仁和路186之3號,121.162653,24.058219
18,溪頭自然教育園區,森林遊樂區,南投縣鹿谷鄉內湖村12鄰森林巷9號,120.796538,23.672944
19,竹山天梯風景區,其他,南投縣竹山鎮大鞍里7鄰頂林路590號,120.734159,23.66917
20,行政院農業委員會特有生物研究保育中心,其他,南投縣集集鎮永昌里11鄰民生東路1號,120.799843,23.828461
21,嘉義城隍廟,宗教場所,嘉義市東區中央里6鄰中山路168號,120.45258,23.481339
22,文化路夜市,其他,嘉義市東區過溝里14鄰文化路76號,120.4501,23.476179
23,檜意森活村,其他,嘉義市東區林森里16鄰林森東路1號,120.453965,23.486577
24,蘭潭,直轄市及縣,嘉義市東區鹿寮里7鄰彌陀路2號,120.47152,23.46282
25,中埔遊客中心,國家級風景特定區,嘉義縣中埔鄉和睦村1鄰中山路五段5號,120.480079,23.451128
26,圓潭生態園區,國家級風景特定區,嘉義縣梅山鄉太和村3鄰蛤里味附14號i,120.719939,23.533006
27,布袋遊憩區,國家級風景特定區,嘉義縣布袋鎮興中里15鄰自由路2號,120.167013,23.378223
28,排雲山莊,國家公園,嘉義縣阿里山鄉中山村1鄰南阿里山1號,120.802274,23.510024
29,梅山太平雲梯,國家級風景特定區,嘉義縣梅山鄉太平村9鄰下坑仔5號,120.600142,23.559488
30,觸口遊客中心,國家級風景特定區,嘉義縣番路鄉觸口村7鄰車埕51號,120.585708,23.446469
31,達娜伊谷,國家級風景特定區,嘉義縣阿里山鄉山美村3鄰山美51號,120.668184,23.383832
32,國立故宮博物院南部院區,博物館,嘉義縣太保市東勢里15鄰故宮大道888號,120.293132,23.472923
33,阿里山國家森林遊樂區,森林遊樂區,嘉義縣阿里山鄉中山村1鄰南阿里山56號,120.802108,23.50889
34,和平島地質公園,國家級風景特定區,基隆市中正區平寮里15鄰平一路360號,121.765262,25.160001
36,國立海洋科技博物館    ,博物館,基隆市中正區砂子里8鄰北寧路367號,121.798852,25.140198
38,陽明海洋文化藝術館,博物館,基隆市中正區中砂里2鄰中正路236號,121.759176,25.140941
39,大里外澳遊憩區,國家級風景特定區,宜蘭縣頭城鎮合興里1鄰濱海路四段10號,121.878603,24.913779
40,宜蘭濱海遊憩區,國家級風景特定區,宜蘭縣壯圍鄉壯濱路四段388巷9號,121.8125093,24.7757283
41,五峰旗風景區,直轄市及縣,宜蘭縣礁溪鄉大忠村17鄰五峰路2號,121.763474,24.826122
42,冬山河生態綠舟,直轄市及縣,宜蘭縣五結鄉協和村19鄰親河路二段1號,121.812315,24.67095
43,冬山河親水公園,直轄市及縣,宜蘭縣五結鄉協和村19鄰親河路二段1號,121.812315,24.67095
44,國立傳統藝術中心,其他,宜蘭縣五結鄉季新村24鄰五濱路二段201號,121.824071,24.685894
45,太平山國家森林遊樂區,森林遊樂區,宜蘭縣大同鄉太平村5鄰中間1號,121.513127,24.54212
46,明池森林遊樂區,森林遊樂區,宜蘭縣大同鄉明池山莊1號,121.4706027,24.6505475
47,棲蘭森林遊樂區,森林遊樂區,宜蘭縣大同鄉太平村2鄰泰雅路四段6號,121.492386,24.580158
48,武荖坑風景區,直轄市及縣,宜蘭縣蘇澳鎮新城里10鄰武荖坑路75號,121.816,24.610077
49,清水地熱公園,觀光地區,宜蘭縣大同鄉復興村7鄰三星路八段501巷150號,121.636626,24.61222
50,蘇澳冷泉,其他,宜蘭縣蘇澳鎮蘇北里18鄰冷泉路6之4號,121.850522,24.597352
